(5, 1, 1, 50, 50);ס;ל;ו;מ;ה;ב;ר;ע;ב;ר;ב;ד;מ;ב;ן;ד;ר;י;ה;ר;ב;ע;ב;ל;א;ר;ש;י;ל;כ;ל;א;ה;ש;מ;ר;ב;ד;ר;ש;א;ם;י;ר;ב;ד;ה;ה;ל;א;(5, 1, 1, 1, 1)
(5, 1, 2, 19, 100);ש;ר;ה;ך;ר;ד;ב;ר;ח;מ;ם;ו;י;ר;ש;ע;ד;ח;א;ב;ה;ז;י;ד;ו;ת;ר;צ;ח;ו;ן;ב;ל;ו;ל;פ;ת;ן;י;ב;ו;ן;ר;א;פ;ן;י;ב;ף;ו;(5, 1, 1, 51, 51)
(5, 1, 3, 38, 150);ש;מ;ר;ב;ד;ש;ד;ח;ל;ד;ח;א;ב;ש;ד;ח;ר;ש;ע;י;ת;ש;ע;ב;ה;נ;ש;ם;י;ע;ב;ר;א;ב;י;ה;י;ו;ע;נ;ר;ב;ש;ד;ק;ד;ע;ר;י;ע;(5, 1, 2, 20, 101)
(5, 1, 4, 19, 200);א;ה;ך;ל;מ;ן;ח;י;ס;ת;א;ו;ת;כ;ה;י;ר;ח;א;ם;ה;ל;א;ו;ת;א;ה;ו;ה;י;ה;ו;צ;ר;ש;א;ל;כ;כ;ל;א;ר;ש;י;י;נ;ב;ל;א;ה;(5, 1, 3, 39, 151)
(5, 1, 5, 2, 250);ע;ב;י;ע;ר;ד;א;ב;ת;ר;ת;ש;ע;ב;ב;ש;ו;י;ר;ש;א;ן;ש;ב;ה;ך;ל;מ;ג;ו;ע;ת;א;ו;ן;ו;ב;ש;ח;ב;ב;ש;ו;י;ר;ש;א;י;ר;מ;(5, 1, 4, 20, 201)
(5, 1, 6, 9, 300);נ;י;ה;ל;א;ה;ו;ה;י;ר;מ;א;ל;ת;א;ז;ה;ה;ר;ו;ת;ה;ת;א;ר;א;ב;ה;ש;מ;ל;י;א;ו;ה;ב;א;ו;מ;ץ;ר;א;ב;ן;ד;ר;י;ה;ר;ב;(5, 1, 5, 3, 251)
(5, 1, 7, 19, 350);מ;א;ה;ר;ה;ו;א;ב;ו;ם;כ;ל;ו;ע;ס;ו;ו;נ;פ;ה;ז;ה;ר;ה;ב;ת;ב;ש;ם;כ;ל;ב;ר;ר;מ;א;ל;ב;ר;ח;ב;ו;נ;י;ל;א;ר;ב;ד;ו;(5, 1, 6, 10, 301)
(5, 1, 7, 69, 400);ה;ו;י;נ;ע;נ;כ;ה;ץ;ר;א;ם;י;ה;ף;ו;ח;ב;ו;ב;ג;נ;ב;ו;ה;ל;פ;ש;ב;ו;ר;ה;ב;ה;ב;ר;ע;ב;ו;י;נ;כ;ש;ל;כ;ל;א;ו;י;ר;(5, 1, 7, 20, 351)
(5, 1, 8, 29, 450);ה;ת;א;ו;ש;ר;ו;ו;א;ב;ץ;ר;א;ה;ת;א;ם;כ;י;נ;פ;ל;י;ת;ת;נ;ה;א;ר;ת;ר;פ;ר;ה;נ;ל;ד;ג;ה;ר;ה;נ;ה;ד;ע;ן;ו;נ;ב;ל;(5, 1, 7, 70, 401)
(5, 1, 8, 79, 500);ם;ע;ר;ז;ל;ו;ם;ה;ל;ת;ת;ל;ב;ק;ע;י;ל;ו;ק;ח;צ;י;ל;ם;ה;ר;ב;א;ל;ם;כ;י;ת;ב;א;ל;ה;ו;ה;י;ע;ב;ש;נ;ר;ש;א;ץ;ר;א;(5, 1, 8, 30, 451)
(5, 1, 10, 8, 550);י;ה;ל;א;ה;ו;ה;י;ם;כ;ת;א;ת;א;ש;י;ד;ב;ל;ל;כ;ו;א;א;ל;ר;מ;א;ל;א;ו;ה;ה;ת;ע;ב;ם;כ;ל;א;ר;מ;א;ו;ם;ה;י;ר;ח;א;(5, 1, 8, 80, 501)
(5, 1, 11, 17, 600);ף;ס;י;ם;כ;ת;ו;ב;א;י;ה;ל;א;ה;ו;ה;י;ב;ר;ל;ם;י;מ;ש;ה;י;ב;כ;ו;כ;כ;ם;ו;י;ה;ם;כ;נ;ה;ו;ם;כ;ת;א;ה;ב;ר;ה;ם;כ;(5, 1, 10, 9, 551)
(5, 1, 12, 15, 650);כ;ח;ר;ט;י;ד;ב;ל;א;ש;א;ה;כ;י;א;ם;כ;ל;ר;ב;ד;ר;ש;א;כ;ם;כ;ת;א;ך;ר;ב;י;ו;ם;י;מ;ע;פ;ף;ל;א;ם;כ;כ;ם;כ;י;ל;ע;(5, 1, 11, 18, 601)
(5, 1, 13, 37, 700);א;ו;ם;כ;י;ט;ב;ש;ל;ם;י;ע;ד;י;ו;ם;י;נ;ב;נ;ו;ם;י;מ;כ;ח;ם;י;ש;נ;א;ם;כ;ל;ו;ב;ה;ם;כ;ב;י;ר;ו;ם;כ;א;ש;מ;ו;ם;(5, 1, 12, 16, 651)
(5, 1, 15, 6, 750);ת;א;ח;ק;א;ו;ת;ו;ש;ע;ל;ת;ר;ב;ד;ר;ש;א;ר;ב;ד;ה;ב;ו;ט;ו;ר;מ;א;ת;ו;י;ת;א;ו;נ;ע;ת;ו;ם;כ;י;ש;א;ר;ב;ם;מ;י;ש;(5, 1, 13, 38, 701)
(5, 1, 15, 56, 800);פ;ל;א;י;ר;ש;ם;כ;י;ל;ע;ם;י;ש;א;ר;ם;ת;ו;א;ן;ת;א;ו;ם;י;ע;ד;י;ו;ם;י;מ;כ;ח;ם;י;ש;נ;א;ם;כ;י;ט;ב;ש;י;ש;א;ר;(5, 1, 15, 7, 751)
(5, 1, 16, 10, 850);ט;פ;ש;ת;א;ה;ו;צ;א;ו;ם;כ;י;ט;ב;ש;ל;ם;י;ר;ט;ש;ו;ת;ר;ש;ע;י;ר;ש;ו;ם;י;ש;מ;ח;י;ר;ש;ו;ת;ו;א;מ;י;ר;ש;ו;ם;י;(5, 1, 15, 57, 801)
(5, 1, 16, 60, 900);ב;ו;ו;י;ח;א;ן;י;ב;ו;ש;י;א;ן;י;ב;ק;ד;צ;ם;ת;ט;פ;ש;ו;ם;כ;י;ח;א;ן;י;ב;ע;מ;ש;ר;מ;א;ל;א;ו;ה;ה;ת;ע;ב;ם;כ;י;(5, 1, 16, 11, 851)
(5, 1, 17, 45, 950);כ;ש;י;א;י;נ;פ;מ;ו;ר;ו;ג;ת;א;ל;ן;ו;ע;מ;ש;ת;ל;ד;ג;כ;ן;ט;ק;כ;ט;פ;ש;מ;ב;ם;י;נ;פ;ו;ר;י;כ;ת;א;ל;ו;ר;ג;ן;י;(5, 1, 16, 61, 901)
(5, 1, 18, 4, 1000);ו;צ;א;ו;ו;י;ת;ע;מ;ש;ו;י;ל;א;ן;ו;ב;ר;ק;ת;ם;כ;מ;ה;ש;ק;י;ר;ש;א;ר;ב;ד;ה;ו;א;ו;ה;ם;י;ה;ל;א;ל;ט;פ;ש;מ;ה;י;(5, 1, 17, 46, 951)
(5, 1, 19, 20, 1050);ב;ד;מ;ה;ל;כ;ת;א;ך;ל;נ;ו;ב;ר;ח;מ;ע;ס;נ;ו;ן;ו;ש;ע;ת;ר;ש;א;ם;י;ר;ב;ד;ה;ל;כ;ת;א;א;ו;ה;ה;ת;ע;ב;ם;כ;ת;א;ה;(5, 1, 18, 5, 1001)
(5, 1, 19, 70, 1100);נ;י;ה;ל;א;ה;ו;ה;י;ה;ו;צ;ר;ש;א;כ;י;ר;מ;א;ה;ר;ה;ך;ר;ד;ם;ת;י;א;ר;ר;ש;א;א;ו;ה;ה;א;ר;ו;נ;ה;ו;ל;ו;ד;ג;ה;ר;(5, 1, 19, 21, 1051)
(5, 1, 20, 32, 1150);י;ה;ל;א;ה;ו;ה;י;ר;ש;א;י;ר;מ;א;ה;ר;ה;ד;ע;ם;ת;א;ב;ם;כ;ל;א;ר;מ;א;ו;ע;נ;ר;ב;ש;ד;ק;ד;ע;א;ב;נ;ו;ו;נ;ת;א;ו;(5, 1, 19, 71, 1101)
(5, 1, 21, 42, 1200);ה;ו;ה;י;ר;ב;ד;ר;ש;א;כ;ש;ר;ה;ל;ע;ץ;ר;א;ה;ת;א;ך;י;נ;פ;ל;ך;י;ה;ל;א;ה;ו;ה;י;ן;ת;נ;ה;א;ר;ו;נ;ל;ן;ת;נ;ו;נ;(5, 1, 20, 33, 1151)
(5, 1, 22, 27, 1250);נ;א;ה;ח;ל;ש;נ;ו;ר;מ;א;ת;ו;ם;כ;ל;כ;י;ל;א;ן;ו;ב;ר;ק;ת;ו;ת;ח;ת;ל;א;ו;א;ר;י;ת;ל;א;ך;ל;ך;י;ת;ב;א;י;ה;ל;א;(5, 1, 21, 43, 1201)
(5, 1, 22, 77, 1300);ב;ה;ל;ע;נ;ר;ש;א;ך;ר;ד;ה;ת;א;ר;ב;ד;ו;נ;ת;א;ו;ב;ש;י;ו;ץ;ר;א;ה;ת;א;ו;נ;ל;ו;ר;פ;ח;י;ו;ו;נ;י;נ;פ;ל;ם;י;ש;(5, 1, 22, 28, 1251)
(5, 1, 23, 30, 1350);נ;א;ר;ש;ע;ם;י;נ;ש;ם;כ;מ;ח;ק;א;ו;ר;ב;ד;ה;י;נ;י;ע;ב;ב;ט;י;י;ו;ן;ה;י;ל;א;א;ב;נ;ר;ש;א;ם;י;ר;ע;ה;ת;א;ו;ה;(5, 1, 22, 78, 1301)
(5, 1, 24, 37, 1400);ה;ת;א;ו;ל;ג;ר;י;ו;ל;כ;ש;א;ל;ח;נ;ד;ע;ו;א;ב;י;ו;ה;ר;ה;ה;ו;ל;ע;י;ו;ו;נ;פ;י;ו;ט;ב;ש;ל;ד;ח;א;ש;י;א;ם;י;ש;(5, 1, 23, 31, 1351)
(5, 1, 25, 50, 1450);ה;ב;ו;ט;ו;ר;מ;א;י;ו;ר;ב;ד;ו;נ;ת;א;ו;ב;ש;י;ו;ו;נ;י;ל;א;ו;ד;ר;ו;י;ו;ץ;ר;א;ה;י;ר;פ;מ;ם;ד;י;ב;ו;ח;ק;י;ו;(5, 1, 25, 1, 1401)
(5, 1, 26, 27, 1500);ל;א;ה;ו;ה;י;י;פ;ת;א;ו;ר;מ;ת;ו;ת;ל;ע;ל;ם;ת;י;ב;א;א;ל;ו;ו;נ;ל;ן;ת;נ;ו;נ;י;ה;ל;א;ה;ו;ה;י;ר;ש;א;ץ;ר;א;ה;(5, 1, 25, 51, 1451)
(5, 1, 27, 46, 1550);ר;צ;מ;ץ;ר;א;מ;ו;נ;א;י;צ;ו;ה;ו;נ;ת;א;ה;ו;ה;י;ת;א;נ;ש;ב;ו;ר;מ;א;ת;ו;ם;כ;י;ל;ה;א;ב;ו;נ;ג;ר;ת;ו;ם;כ;י;ה;(5, 1, 26, 28, 1501)
(5, 1, 28, 25, 1600);ב;ל;ת;א;ו;ס;מ;ה;ו;נ;י;ח;א;ם;י;ל;ע;ו;נ;ח;נ;א;ה;נ;א;ו;נ;ד;י;מ;ש;ה;ל;י;ר;מ;א;ה;ד;י;ב;ו;נ;ת;א;ת;ת;ל;ם;י;(5, 1, 27, 47, 1551)
(5, 1, 28, 75, 1650);ם;י;ק;נ;ע;י;נ;ב;ם;ג;ו;ם;י;מ;ש;ב;ת;ר;ו;צ;ב;ו;ת;ל;ד;ג;ם;י;ר;ע;ו;נ;מ;מ;ם;ר;ו;ל;ו;ד;ג;ם;ע;ר;מ;א;ל;ו;נ;ב;(5, 1, 28, 26, 1601)
(5, 1, 30, 15, 1700);ל;ך;ל;ה;ה;ם;כ;י;ה;ל;א;ה;ו;ה;י;ם;ה;מ;ן;ו;א;ר;י;ת;א;ל;ו;ן;ו;צ;ר;ע;ת;א;ל;ם;כ;ל;א;ר;מ;א;ו;ם;ש;ו;נ;י;א;ר;(5, 1, 28, 76, 1651)
(5, 1, 31, 9, 1750);ר;ש;א;ר;ב;ד;מ;ב;ו;ם;כ;י;נ;י;ע;ל;ם;י;ר;צ;מ;ב;ם;כ;ת;א;ה;ש;ע;ר;ש;א;ל;כ;כ;ם;כ;ל;ם;ח;ל;י;א;ו;ה;ם;כ;י;נ;פ;(5, 1, 30, 16, 1701)
(5, 1, 31, 59, 1800);ם;ת;כ;ל;ה;ר;ש;א;ך;ר;ד;ה;ל;כ;ב;ו;נ;ב;ת;א;ש;י;א;א;ש;י;ר;ש;א;כ;ך;י;ה;ל;א;ה;ו;ה;י;ך;א;ש;נ;ר;ש;א;ת;י;א;ר;(5, 1, 31, 10, 1751)
(5, 1, 33, 4, 1850);ך;ל;ה;ה;ם;כ;י;ה;ל;א;ה;ו;ה;י;ב;ם;נ;י;מ;א;מ;ם;כ;נ;י;א;ה;ז;ה;ר;ב;ד;ב;ו;ה;ז;ה;ם;ו;ק;מ;ה;ד;ע;ם;כ;א;ב;ד;ע;(5, 1, 31, 60, 1801)
(5, 1, 33, 54, 1900);כ;ל;ת;ר;ש;א;ך;ר;ד;ב;ם;כ;ת;א;ר;ל;ה;ל;י;ל;ש;א;ב;ם;כ;ת;נ;ח;ל;ם;ו;ק;מ;ם;כ;ל;ר;ו;ת;ל;ך;ר;ד;ב;ם;כ;י;נ;פ;ל;(5, 1, 33, 5, 1851)
(5, 1, 35, 4, 1950);ר;י;ם;א;ר;מ;א;ל;ע;ב;ש;י;ו;ף;צ;ק;י;ו;ם;כ;י;ר;ב;ד;ל;ו;ק;ת;א;ה;ו;ה;י;ע;מ;ש;י;ו;ם;מ;ו;י;ן;נ;ע;ב;ו;ה;ב;ו;(5, 1, 33, 55, 1901)
(5, 1, 35, 54, 2000);א;ל;ת;ת;ל;י;ת;ע;ב;ש;נ;ר;ש;א;ה;ב;ו;ט;ה;ץ;ר;א;ה;ת;א;ה;ז;ה;ע;ר;ה;ר;ו;ד;ה;ה;ל;א;ה;ם;י;ש;נ;א;ב;ש;י;א;ה;א;(5, 1, 35, 5, 1951)
(5, 1, 36, 45, 2050);ב;ל;ו;ה;ב;ך;ר;ד;ר;ש;א;ץ;ר;א;ה;ת;א;ן;ת;א;ו;ל;ו;ה;נ;א;ר;י;א;ו;ה;ה;נ;פ;י;ן;ב;ב;ל;כ;י;ת;ל;ו;ז;ם;כ;י;ת;ב;(5, 1, 35, 55, 2001)
(5, 1, 37, 30, 2100);א;ל;ה;ת;א;ם;ג;ר;מ;א;ל;ם;כ;ל;ל;ג;ב;ה;ו;ה;י;ף;נ;א;ת;ה;י;ב;ם;ג;ה;ו;ה;י;י;ר;ח;א;א;ל;מ;ר;ש;א;ן;ע;י;ו;י;נ;(5, 1, 36, 46, 2051)
(5, 1, 38, 45, 2150);ה;נ;ל;ח;נ;י;א;ו;ה;י;כ;ק;ז;ח;ו;ת;א;ה;מ;ש;א;ב;י;א;ו;ה;ך;י;נ;פ;ל;ד;מ;ע;ה;ן;ו;נ;ן;ב;ע;ש;ו;ה;י;ם;ש;א;ב;ת;(5, 1, 37, 31, 2101)
(5, 1, 39, 43, 2200);ו;ב;ו;ט;ם;ו;י;ה;ו;ע;ד;י;א;ל;ר;ש;א;ם;כ;י;נ;ב;ו;ה;י;ה;י;ז;ב;ל;ם;ת;ר;מ;א;ר;ש;א;ם;כ;פ;ט;ו;ל;א;ר;ש;י;ת;א;(5, 1, 38, 46, 2151)
(5, 1, 40, 20, 2250);ה;ר;ב;ד;מ;ה;ו;ע;ס;ו;ם;כ;ל;ו;נ;פ;ם;ת;א;ו;ה;ו;ש;ר;י;י;ם;ה;ו;ה;נ;נ;ת;א;ם;ה;ל;ו;ה;מ;ש;ו;א;ב;י;ה;מ;ה;ע;ר;(5, 1, 39, 44, 2201)
